arrived_at,num_prefill_tokens,num_decode_tokens
0.0,6755,500
0.0,7319,490
0.0,7234,794
0.0,2287,316
0.0,9013,3
0.0,6506,3
0.0,4824,173
0.0,3119,20
0.0,23090,453
0.0,3135,19
0.0,26874,458
0.0,10487,402
0.0,17448,610
0.0,6253,3
0.0,6725,32
3.052,13538,71
3.052,87162,402
3.052,6166,24
3.052,6320,548
3.052,2007,354
3.052,3174,19
3.052,3131,23
3.052,3159,20
3.052,6820,26
3.052,3154,21
3.052,9416,145
3.052,7460,3
3.052,913,355
3.052,12833,466
3.052,20504,929
3.052,16600,349
3.052,26337,370
3.052,6043,475
3.052,5951,420
3.052,11333,848
3.052,15155,80
3.052,45918,265
6.105,6355,3
6.105,7111,3
6.105,6198,39
6.105,6166,23
6.105,1048,26
6.105,3066,20
6.105,4184,24
6.105,6721,29
6.105,5698,745
6.105,3153,25
6.105,3154,20
6.105,6169,27
6.105,3132,21
6.105,4346,20
6.105,7141,36
6.105,6306,3
9.162,10349,584
9.162,1475,615
9.162,6188,3
9.162,15342,344
9.162,3119,18
9.162,3803,309
9.162,6785,3
9.162,8766,1
9.162,26124,238
9.162,7490,3
9.162,6669,3
9.162,4113,24
9.162,16631,449
9.162,6598,26
9.162,6563,25
9.162,6950,25
9.162,1106,240
12.214,3627,555
12.214,6520,47
12.214,2033,524
12.214,1900,587
12.214,6185,3
12.214,14024,227
12.214,6618,35
12.214,12091,239
12.214,7413,23
12.214,3375,22
12.214,1065,324
12.214,9612,203
12.214,19950,105
15.267,6522,481
15.267,897,324
15.267,5386,361
15.267,7011,3
15.267,6905,3
15.267,6251,3
15.267,23576,362
15.267,38267,589
15.267,7539,415
15.267,3133,16
15.267,8947,219
15.267,24223,587
15.267,15753,417
15.267,27662,459
15.267,3329,20
15.267,11035,98
15.267,3355,23
15.267,2347,355
15.267,932,421
15.267,14066,522
18.32,7932,375
18.32,13867,534
18.32,6608,28
18.32,6484,3
18.32,897,57
18.32,19587,178
18.32,6237,3
18.32,6165,3
18.32,7307,3
18.32,7122,3
18.32,6345,3
21.373,3180,195
21.373,3170,17
21.373,3151,27
21.373,2640,366
21.373,6717,3
21.373,3134,20
21.373,3151,22
21.373,5915,542
21.373,8422,439
21.373,8347,387
21.373,6231,3
21.373,7173,3
24.426,6854,3
24.426,3220,19
24.426,6358,28
24.426,7379,3
24.426,4040,20
24.426,6169,25
24.426,3126,18
24.426,12149,237
24.426,2981,18
24.426,28211,603
24.426,8077,3
24.426,6658,27
24.426,4230,22
24.426,2127,347
24.426,6165,25
24.426,36416,255
27.482,1421,290
27.482,18079,387
27.482,35084,538
27.482,953,48
27.482,15830,629
27.482,9242,632
27.482,12914,460
27.482,17793,345
27.482,8013,1
27.482,8501,3
27.482,10748,596
27.482,7295,3
27.482,4538,362
27.482,6955,52
27.482,9389,3
27.482,4386,21
30.535,6472,26
30.535,6256,3
30.535,7259,34
30.535,42717,464
30.535,6171,34
30.535,6639,3
30.535,6635,3
30.535,6918,3
30.535,6182,34
30.535,6580,23
30.535,13612,492
30.535,49897,549
30.535,17068,440
30.535,6648,3
30.535,3235,29
33.588,21085,563
33.588,6178,3
33.588,3154,24
33.588,6814,3
33.588,29247,448
33.588,6168,26
33.588,4019,20
33.588,7038,3
33.588,82188,683
33.588,26037,578
33.588,6247,3
33.588,6192,3
33.588,120626,580
33.588,6535,3
33.588,1319,514
33.588,915,265
36.64,2883,613
36.64,7043,36
36.64,8613,593
36.64,3176,23
36.64,1712,31
36.64,2426,508
36.64,7125,26
36.64,11521,373
36.64,1082,505
36.64,2387,621
36.64,7294,3
36.64,8552,3
36.64,11989,529
36.64,6911,24
39.693,6777,25
39.693,4488,16
39.693,13681,358
39.693,3149,25
39.693,3193,15
39.693,16461,182
39.693,6412,27
39.693,3156,22
39.693,22805,463
39.693,8484,306
39.693,9210,160
39.693,3532,228
39.693,6777,39
39.693,1203,223
39.693,8514,232
39.693,895,574
39.693,6176,3
39.693,6268,24
39.693,6555,3
39.693,23328,616
42.746,6648,3
42.746,7423,3
42.746,5148,494
42.746,6170,3
42.746,7952,3
42.746,6045,89
42.746,15448,338
42.746,3130,24
42.746,69616,400
42.746,13180,566
42.746,1891,456
42.746,3130,18
42.746,6288,3
42.746,3120,21
42.746,3124,20
45.802,905,396
45.802,6167,3
45.802,6180,30
45.802,894,439
45.802,27129,216
45.802,6579,3
45.802,6172,28
45.802,9065,30
45.802,4193,21
45.802,2152,604
45.802,6662,24
45.802,6757,3
45.802,11218,453
48.855,15394,534
48.855,3012,111
48.855,3116,17
48.855,3131,19
48.855,7030,3
48.855,49942,173
48.855,912,387
48.855,3117,15
48.855,6756,38
48.855,7027,3
48.855,7175,41
48.855,21275,111
48.855,6594,37
48.855,7828,374
48.855,7436,3
48.855,943,536
48.855,6326,3
48.855,2983,436
51.908,1081,481
51.908,6171,3
51.908,3962,18
51.908,13230,434
51.908,41004,575
51.908,24546,362
51.908,896,906
